ملحقَبالمزيدَبحرفين,اِفعَللَ,اِفعَنل ََلَ,ملحقَبالمزيدَبحرف,تفَعْللَََ,ملحقَبمجردَالرباعي,فعَْل ََلَ,م,,ص,ج
"",,,,,,,,,,
"",,,,,,أَبْْلَََ,427,,27,ءَبَهَلََ
"",,,,,,,,,,
"",,,,,,أَحْأ ََحَ,292,,6,ءَحَءَحَ
"",,,,تأَسَْتَََ,,أَسْ ََتََ,267,,1,ءَسَتَرَ
"",,,,,,أَس تَ ََلَ,269,,1,ءَسَتَلَ
"",,,,تأَكَْسَ ََد,,أَكْسَدَََ,389,,1,ءَكَسَدَ
"",,,,تبََأبَأَ,,بأَبَأَ,135,,1,بَءَبَءَ
"",,,,,,بأََدََلََ,48,,28,بَءَدَلَ
"",,,,,,بأَذَْ ََن,227,,34,بَءَذَنَ
"",اِبثْأَرَ,,,,,َ,61,,2,بَثَءَرَ
"",,,,,,بثَبثََََ,161,,5,بَثَبَثَ
"",اِبثْعََر,,,,,,104,,10,بَثَعَرَ
"",,,,تبََجْبَ ََج,,بََبَ ََجَ,411,,5,بَجَبَجَ
"",,,,تبََحْبَحََ,,بَحبَ ََحَ,298,,6,بَحَبَحَ
"",,,,تبََحْتَََ,,,130,,10,بَحَتَرَ
"",,,,تبََحْثَََ,,بَح ََثَ,132,,10,بَحَثَرَ
"",,,,تبََحْثَََ,,بَحثَََ,234,,34,بَحَثَنَ
"",,,,,,بَحدَ ََل,61,,28,بَحَدَلَ
"",,,,,,بَحشَلََ,61,,28,بَحَشَلَ
"",,,,,,بَحظَ ََل,62,,28,بَحَظَلَ
"",,,,تبََحْلسَََ,,,437,,15,بَحَلَسَ
"",,,,,,بَحل َقََ,33,,25,بَحَلَقَ
"",اِبْْأنَ,,,,,َ,235َ,َ,34,بَخَءَنَ
"",,,,تبََخْبَخََ,,بَْبَخَََ,230,,7,بَخَبَخَ
"",,,,تبََخْ ََتَ,,بَْتَََ,135,,10,بَخَتَرَ
"",,,,تبََخْثَََ,,بَْ ََثَ,137,,10,بَخَثَرَ
"",,اِبْْنْدَنََ,,,,,235,,34,بَخَدَنَ
"",,اِبْْنْدَى,,,,,404,,7,بَخَدَي
"",,,,,,بَْذَ ََع,304,,20,بَخَذَعَ
"",,,,,,بَْشَشَََ,249,,1,بَخَشَشَ
"",,,,تبََحْضَلََ,,بَْضَ ََل,62,,28,بَخَضَلَ
"",,,,تبََخْل َصََ,,بَْلصََََ,485,,17,بَخَلَصَ
"",,,تبََخْن َقَ,,بَْنقََ,,35,,25,بَخَنَقَ
"",اِبدَْقرَ,,,,,,145,,10,بَدَقَرَ
ملحقَبالمزيدَبحرفين,اِفعَللَ,اِفعَنللَََ,ملحقَبالمزيدَبحرف,تفَعْل ََلَ,ملحقَبمجردَالرباعي,فعَْللَََ,م,ص,ج
"",,,,,,,,,
"",,,,,,بذَْرَقََ,36,25,بَذَرَقَ
"",اِبذَْعَر,,,تبََذْعَرََ,,,149,10,بَذَعَرَ
"",اِبذَْقرَ,,,,,,150,10,بَذَقَرَ
"",,,,,,بذَْل ََخَ,233,7,بَذَلَخَ
"",اِبرَأَل,,,تبَََأَ ََل,,برَْأَلََ,72,28,بَرَءَلَ
"",,,,ت ببَََ ََرَ,,برَْب ََرََ,159,10,بَرَبَرَ
"",,,,ت ببَََسَََ,,برَْب َسََ,444,15,بَرَبَسَ
"",,,,,,برَْب َشَََ,271,1,بَرَبَشَ
"",,,,,,برَْبصَََ,485,17,بَرَبَصَ
"",,,,,,برَْبطَ,138,19,بَرَبَطَ
"",,,,,,برَْت ََكَ,72,27,بَرَتَكَ
"",,اِب نرَ َتَْ,,,,َ,,,بَرَتَيَ
"",,,,,,برَْثطَ,139,19,بَرَثَطَ
"",,,,,,برَْجَمََ,272,31,بَرَجَمَ
"",,اِب نرَدَْعََ,,,,,313,20,بَرَدَعَ
"",,اِب نرَذَْعََ,,,,,315,20,بَرَذَعَ
"",,,,,,برَْذَ ََن,246,34,بَرَذَنَ
"",,,,تبَََزَ َقَ,,,75,25,بَرَزَقَ
"",,,,,,برَْسَََ,275,31,بَرَسَمَ
"",,,,تبَََسَ ََن,,برَْسَنَََ,289,1,بَرَسَنَ
"",,,,,,برَْشَط,140,19,بَرَشَطَ
"",,اِب نرَشَْقََ,,,,برَْشَقََ,76,25,بَرَشَقَ
"",,,,,,برَْشَكََ,72,27,بَرَشَكَ
"",,,,,,برَْ ََشَ,277,31,بَرَشَمَ
"",,,,,,برَْشَنََ,249,34,بَرَشَنَ
"",,,,,,برَْطَ َسَ,446,15,بَرَطَسَ
"",,,,,,برَْطَشََ,73,17,بَرَطَشَ
"",,,,تبَََطَلََ,,برَْطَ ََل,75,28,بَرَطَلَ
"",,اِب نرَطَْ ََم,,تبَََطَمََ,,برَْطَمََ,278,31,بَرَطَمَ
"",,,,تبَََعَصََ,,,490,17,بَرَعَصَ
"",,,,تبَََعَََ,,برَْ َََع,279,31,بَرَعَمَ
"",,,,,,برَْغ ََثَ,167,5,بَرَغَثَ
"",اِبرَغشََ,,,,,برَْغ َشََ,74,17,بَرَغَشَ
ملحقَبالمزيدَبحرفين,اِفعَللَ,اِفعَنل ََلَ,ملحقَبالمزيدَبحرف,تفَعْل ََلَ,ملحقَبمجردَالرباعي,فعَْللَََ,م,ص,ج
"",,,,,,,,,
"",,,,,,برَْغ ََلَ,76,28,بَرَغَلَ
"",,,,,,,,,
"",,,,تبَََقحَََ,,برَْقحَََ,314,6,بَرَقَحَ
"",,اِب نرَقَْ َشَ,,تبَََق َشَ,,برَْق َشََ,74,17,بَرَقَشَ
"",,,,تبَََقطَ,,برَْقطَ,140,19,بَرَقَطَ
"",,,,تبَََقعَََ,,برَْقََعَ,319,20,بَرَقَعَ
"",,,,,,برَْققََََ,303,1,بَرَقَقَ
"",,,,,,برَْقلَََ,76,28,بَرَقَلَ
"",,,,,,برَْكَسََ,447,15,بَرَكَسَ
"",,,,تبَََكَعََ,,برَْكَعََ,322,20,بَرَكَعَ
"",,,,تبَََكَََ,,برَْ ََكََ,77,28,بَرَكَلَ
